timestamp,id,extended_id,RX,remote_frame,error_frame,dlc,rotor_count_hex,rotor_speed_hex,current_hex
1678405864.5437996,0x201,0,1,0,0,8,0563,0007,FF42
1678405864.5446084,0x201,0,1,0,0,8,0563,0000,FF81
1678405864.5454912,0x201,0,1,0,0,8,0561,0000,FF63
1678405864.5466073,0x201,0,1,0,0,8,055F,FFF8,FF3B
1678405864.5474815,0x201,0,1,0,0,8,055D,FFF1,FF63
1678405864.548754,0x201,0,1,0,0,8,055B,FFED,FF40
1678405864.549542,0x201,0,1,0,0,8,0559,FFED,FF41
1678405864.5504575,0x201,0,1,0,0,8,0557,FFED,FF65
1678405864.5517354,0x201,0,1,0,0,8,0555,FFF1,FF89
1678405864.552489,0x201,0,1,0,0,8,0553,FFED,FF66
1678405864.553452,0x201,0,1,0,0,8,0552,FFED,FF65
1678405864.554309,0x201,0,1,0,0,8,0552,FFF1,FF65
1678405864.5555525,0x201,0,1,0,0,8,0553,FFFC,FF66
1678405864.556316,0x201,0,1,0,0,8,0553,FFFC,FF65
1678405864.5575957,0x201,0,1,0,0,8,0554,0007,FF8A
1678405864.5583405,0x201,0,1,0,0,8,0556,0007,FF8A
1678405864.5596137,0x201,0,1,0,0,8,0559,000A,FF8A
1678405864.5603695,0x201,0,1,0,0,8,055A,000A,FF40
1678405864.5616522,0x201,0,1,0,0,8,055B,0007,FF1A
1678405864.562594,0x201,0,1,0,0,8,055B,0003,FF19
1678405864.5634606,0x201,0,1,0,0,8,055C,0003,FF41
1678405864.5643113,0x201,0,1,0,0,8,055D,0000,FF1A
1678405864.5655622,0x201,0,1,0,0,8,055B,0000,FF19
1678405864.5662963,0x201,0,1,0,0,8,055A,FFF5,FF1A
1678405864.5672913,0x201,0,1,0,0,8,0559,FFF5,FF1A
1678405864.5682204,0x201,0,1,0,0,8,0557,FFF1,FF1A
1678405864.5695074,0x201,0,1,0,0,8,0553,FFED,FF65
1678405864.5702825,0x201,0,1,0,0,8,0551,FFED,FFAE
1678405864.5712144,0x201,0,1,0,0,8,0550,FFF1,FF40
1678405864.572479,0x201,0,1,0,0,8,054F,FFF5,FF62
1678405864.5732229,0x201,0,1,0,0,8,054E,FFF5,FF67
1678405864.5745196,0x201,0,1,0,0,8,054D,FFF5,FF67
1678405864.575251,0x201,0,1,0,0,8,054E,FFFC,FF89
1678405864.5762284,0x201,0,1,0,0,8,0551,000A,FF65
1678405864.5771747,0x201,0,1,0,0,8,0551,0007,FF3F
1678405864.5784595,0x201,0,1,0,0,8,0553,0007,FF8A
1678405864.5792253,0x201,0,1,0,0,8,0556,000A,FF1B
